date,ticker,open_usd,high_usd,low_usd,close_usd,adj_close_usd,volume,event_flag,event_description
2020-01-02,HLMO,7.12,7.35,6.98,7.21,7.21,312000,0,N/A
2020-01-03,HLMO,7.20,7.42,7.05,7.28,7.28,298000,0,N/A
2020-01-06,HLMO,7.25,7.48,7.10,7.32,7.32,305000,0,N/A
2020-01-07,HLMO,7.30,7.55,7.15,7.41,7.41,320000,0,N/A
2020-01-08,HLMO,7.38,7.60,7.22,7.45,7.45,315000,0,N/A
2020-01-09,HLMO,7.42,7.65,7.28,7.50,7.50,328000,0,N/A
2020-01-10,HLMO,7.48,7.70,7.32,7.55,7.55,310000,0,N/A
2020-01-13,HLMO,7.52,7.75,7.38,7.60,7.60,302000,0,N/A
2020-01-14,HLMO,7.58,7.82,7.42,7.65,7.65,318000,0,N/A
2020-01-15,HLMO,7.62,7.85,7.48,7.70,7.70,325000,0,N/A
2020-03-16,HLMO,7.88,8.02,6.70,6.95,6.95,910000,1,COVID supply disruption
2020-03-17,HLMO,6.90,7.10,6.50,6.80,6.80,950000,1,COVID impact
2020-03-18,HLMO,6.75,6.95,6.40,6.65,6.65,980000,1,COVID impact
2020-03-19,HLMO,6.60,6.80,6.30,6.55,6.55,920000,1,COVID impact
2020-03-20,HLMO,6.50,6.70,6.20,6.45,6.45,900000,1,COVID impact
2020-03-23,HLMO,6.40,6.60,6.10,6.35,6.35,880000,1,COVID impact
2020-03-24,HLMO,6.30,6.50,6.00,6.25,6.25,860000,1,COVID impact
2020-03-25,HLMO,6.20,6.40,5.90,6.15,6.15,840000,1,COVID impact
2020-03-26,HLMO,6.10,6.30,5.80,6.05,6.05,820000,1,COVID impact
2020-03-27,HLMO,6.00,6.20,5.70,5.95,5.95,800000,1,COVID impact
2021-08-16,HLMO,12.20,12.50,12.00,12.30,12.30,1050000,0,Pre-funding
2021-08-17,HLMO,12.34,12.90,12.21,12.76,12.76,1120000,1,Series C funding closed
2021-08-18,HLMO,12.80,13.10,12.60,12.95,12.95,1080000,1,Funding aftermath
2021-08-19,HLMO,12.90,13.20,12.70,13.05,13.05,1100000,1,Funding aftermath
2021-08-20,HLMO,13.00,13.30,12.80,13.15,13.15,1060000,1,Funding aftermath
2021-08-23,HLMO,13.10,13.40,12.90,13.25,13.25,1040000,0,N/A
2021-08-24,HLMO,13.20,13.50,13.00,13.35,13.35,1020000,0,N/A
2021-08-25,HLMO,13.30,13.60,13.10,13.45,13.45,1000000,0,N/A
2021-08-26,HLMO,13.40,13.70,13.20,13.55,13.55,980000,0,N/A
2021-08-27,HLMO,13.50,13.80,13.30,13.65,13.65,960000,0,N/A
2022-09-02,HLMO,13.30,13.60,13.10,13.40,13.40,1300000,0,Pre-launch
2022-09-05,HLMO,13.42,14.18,13.28,14.02,14.02,1410000,1,VoltEdge S95 launch
2022-09-06,HLMO,14.05,14.30,13.90,14.15,14.15,1380000,1,Launch buzz
2022-09-07,HLMO,14.10,14.35,13.95,14.20,14.20,1350000,1,Launch buzz
2022-09-08,HLMO,14.15,14.40,14.00,14.25,14.25,1320000,1,Launch buzz
2022-09-09,HLMO,14.20,14.45,14.05,14.30,14.30,1290000,0,N/A
2022-09-12,HLMO,14.25,14.50,14.10,14.35,14.35,1260000,0,N/A
2022-09-13,HLMO,14.30,14.55,14.15,14.40,14.40,1230000,0,N/A
2022-09-14,HLMO,14.35,14.60,14.20,14.45,14.45,1200000,0,N/A
