event_id,date,type,actors,target,summary,detailed_description,impact_scope,impact_details,related_docs
EV001,2020-03-16,Market Surge,C005,N/A,"Remote documentation boom","SaaS demand surged as enterprises digitized policies, contracts, SOPs.","Bookings","Pipeline +22%","F2020-10K-C005"
EV002,2020-08-25,Partnership,C005,SecureLogix,"HSM-backed signing","HSM integration for tamper-evident renders.","Product","Security uplift","IP2020-08-C005"
EV003,2020-12-18,Customer Win,C005,AlpinePeak Insurance,"Claims doc automation","Reduced cycle time 38%.","Revenue","$1.8M ARR","Case-2020-12-C005"
EV004,2021-02-09,Patent Filing,C005,N/A,"Provenance tracking claims","Filed 4 patents on lineage graph.","IP","IP moat +","USPTO-2021-02-C005"
EV005,2021-04-21,Compliance,C005,N/A,"HIPAA BAA readiness","Healthcare-ready stack.","Regulatory","New vertical access","F2021-10K-C005"
EV006,2021-06-10,Product Launch,C005,N/A,"QuillOps v2 (graph+RAG)","Entity linking + retrieval orchestration.","Product","Win rate +7 pp","IP2021-06-C005"
EV007,2021-09-01,Conference,C005,N/A,"Dreamforce breakout","KnowledgeOps for RevOps.","Marketing","Leads +14%","EVT-2021-09-C005"
EV008,2021-11-29,Customer Win,C005,GlobalRetail Inc.,"Policy-to-store playbooks","Multi-lingual SOPs.","Revenue","$2.3M ARR","Case-2021-11-C005"
EV009,2022-01-20,Alliance,C005,C003,"Borealis green-compute","EU residency & lower carbon.","Collaboration","EU deals +18%","IP2022-01-C005"
EV010,2022-03-08,Feature Release,C005,N/A,"GDPR-ready policy layer","Automated redaction + purpose limits.","Product","Churn -1.2 pp","IP2022-03-C005"
EV011,2022-05-19,Patent Grant,C005,N/A,"RAG policy layer","Grant on prompt governance.","IP","Differentiation +","USPTO-2022-05-C005"
EV012,2022-07-14,Hiring,C005,N/A,"Scaled Solutions Eng.","Enable enterprise templates.","Operations","Time-to-value -20%","HR-2022-07-C005"
EV013,2022-10-11,Customer Win,C005,Medisafe Health,"Clinical doc guardrails","Reduced audit exceptions 55%.","Revenue","$2.0M ARR","Case-2022-10-C005"
EV014,2022-12-07,Partner Program,C005,N/A,"Compliance SI network","20 partners signed.","GTM","Coverage scale +","PR-2022-12-C005"
