company_id,period,revenue_usd,cogs_usd,gross_profit_usd,gross_margin_pct,opex_usd,rd_expense_usd,selling_expense_usd,admin_expense_usd,operating_income_usd,interest_expense_usd,tax_expense_usd,net_income_usd,eps_basic,free_cash_flow_usd,cash_and_equivalents_usd,accounts_receivable_usd,inventory_usd,property_plant_equipment_usd,total_assets_usd,total_liabilities_usd,shareholders_equity_usd
C011,2020Q1,8200000,4600000,3600000,43.9,5500000,2500000,1800000,1200000,-1900000,30000,0,-1930000,-0.14,-850000,4100000,2100000,0,4700000,17000000,6200000,10800000
C011,2020Q2,8600000,4800000,3800000,44.2,5600000,2550000,1850000,1200000,-1800000,29000,0,-1829000,-0.13,-820000,4200000,2200000,0,4800000,17200000,6100000,11100000
C011,2020Q3,9100000,5000000,4100000,45.1,5700000,2600000,1900000,1200000,-1600000,28000,0,-1628000,-0.12,-730000,4300000,2300000,0,4900000,17400000,6000000,11400000
C011,2020Q4,9800000,5200000,4600000,46.9,5800000,2650000,1950000,1200000,-1200000,27000,0,-1227000,-0.09,-550000,4400000,2400000,0,5000000,17600000,5900000,11700000
C011,2021Q1,10500000,5400000,5100000,48.6,6000000,2800000,2000000,1200000,-900000,26000,20000,-946000,-0.07,-430000,4500000,2500000,0,5200000,17800000,5800000,12000000
C011,2021Q2,11200000,5600000,5600000,50.0,6200000,2900000,2100000,1200000,-600000,25000,30000,-655000,-0.05,-290000,4600000,2600000,0,5400000,18000000,5700000,12300000
C011,2021Q3,11900000,5800000,6100000,51.3,6400000,3000000,2200000,1200000,-300000,24000,40000,-364000,-0.03,-150000,4700000,2700000,0,5600000,18200000,5600000,12600000
C011,2021Q4,12800000,6100000,6700000,52.3,6600000,3100000,2300000,1200000,100000,23000,50000,27000,0.00,80000,4800000,2800000,0,5800000,18400000,5500000,12900000
C011,2022Q1,13600000,6300000,7300000,53.7,6800000,3200000,2400000,1200000,500000,22000,60000,418000,0.03,200000,4900000,2900000,0,6000000,18600000,5400000,13200000
C011,2022Q2,14500000,6500000,8000000,55.2,7000000,3300000,2500000,1200000,1000000,21000,70000,909000,0.06,450000,5000000,3000000,0,6200000,18800000,5300000,13500000
C011,2022Q3,15400000,6700000,8700000,56.5,7200000,3400000,2600000,1200000,1500000,20000,80000,1400000,0.10,700000,5100000,3100000,0,6400000,19000000,5200000,13800000
C011,2022Q4,16500000,6900000,9600000,58.2,7400000,3500000,2700000,1200000,2200000,19000,90000,2091000,0.14,950000,5200000,3200000,0,6600000,19200000,5100000,14100000
C011,2023Q1,15800000,6600000,9200000,58.2,7800000,3700000,2900000,1200000,1400000,18000,100000,1282000,0.09,600000,5100000,3300000,0,6800000,19400000,5200000,14200000
C011,2023Q2,16600000,6900000,9700000,58.4,8000000,3800000,3000000,1200000,1700000,17000,110000,1573000,0.11,750000,5300000,3400000,0,7000000,19600000,5300000,14300000
C011,2023Q3,17500000,7200000,10300000,58.9,8200000,3900000,3100000,1200000,2100000,16000,120000,1964000,0.14,900000,5500000,3500000,0,7200000,19800000,5400000,14400000
C011,2023Q4,18600000,7500000,11100000,59.7,8400000,4000000,3200000,1200000,2700000,15000,130000,2555000,0.18,1100000,5700000,3600000,0,7400000,20000000,5500000,14500000
C011,2024Q1,17400000,7000000,10400000,59.8,8800000,4200000,3400000,1200000,1600000,14000,140000,1446000,0.10,650000,5600000,3700000,0,7600000,20200000,5700000,14500000
C011,2024Q2,18200000,7300000,10900000,59.9,9000000,4300000,3500000,1200000,1900000,13000,150000,1737000,0.12,750000,5800000,3800000,0,7800000,20400000,5800000,14600000
C011,2024Q3,19200000,7600000,11600000,60.4,9200000,4400000,3600000,1200000,2400000,12000,160000,2228000,0.15,950000,6000000,3900000,0,8000000,20600000,5900000,14700000
C011,2024Q4,20400000,7900000,12500000,61.3,9400000,4500000,3700000,1200000,3100000,11000,170000,2919000,0.20,1200000,6200000,4000000,0,8200000,20800000,6000000,14800000
C011,2025Q1,19100000,7400000,11700000,61.3,9800000,4700000,3900000,1200000,1900000,10000,180000,1710000,0.12,750000,6300000,4100000,0,8400000,21000000,6100000,14900000
C011,2025Q2,20000000,7700000,12300000,61.5,10000000,4800000,4000000,1200000,2300000,9000,190000,2101000,0.14,900000,6500000,4200000,0,8600000,21200000,6200000,15000000
