company_id,period,revenue_usd,cogs_usd,gross_profit_usd,gross_margin_pct,opex_usd,rd_expense_usd,selling_expense_usd,admin_expense_usd,operating_income_usd,interest_expense_usd,tax_expense_usd,net_income_usd,eps_basic,free_cash_flow_usd,cash_and_equivalents_usd,accounts_receivable_usd,inventory_usd,property_plant_equipment_usd,total_assets_usd,total_liabilities_usd,shareholders_equity_usd
C014,2020Q1,4200000,2500000,1700000,40.5,2800000,1500000,800000,500000,-1100000,15000,0,-1115000,-0.16,-480000,1800000,800000,400000,2500000,7200000,2800000,4400000
C014,2020Q2,4600000,2700000,1900000,41.3,2900000,1550000,850000,500000,-1000000,14000,0,-1014000,-0.15,-430000,1900000,850000,450000,2600000,7400000,2700000,4700000
C014,2020Q3,5100000,2950000,2150000,42.2,3000000,1600000,900000,500000,-850000,13000,0,-863000,-0.12,-370000,2000000,900000,500000,2700000,7600000,2600000,5000000
C014,2020Q4,5600000,3200000,2400000,42.9,3100000,1650000,950000,500000,-700000,12000,0,-712000,-0.10,-300000,2100000,950000,550000,2800000,7800000,2500000,5300000
C014,2021Q1,6200000,3500000,2700000,43.5,3300000,1800000,1000000,500000,-600000,11000,10000,-621000,-0.09,-250000,2200000,1000000,600000,3000000,8100000,2400000,5700000
C014,2021Q2,6900000,3800000,3100000,44.9,3500000,1900000,1100000,500000,-400000,10000,20000,-430000,-0.06,-170000,2300000,1100000,650000,3200000,8400000,2300000,6100000
C014,2021Q3,7700000,4200000,3500000,45.5,3700000,2000000,1200000,500000,-200000,9000,30000,-239000,-0.03,-80000,2400000,1200000,700000,3400000,8700000,2200000,6500000
C014,2021Q4,8600000,4650000,3950000,45.9,3900000,2100000,1300000,500000,50000,8000,40000,2000,0.00,30000,2500000,1300000,750000,3600000,9000000,2100000,6900000
C014,2022Q1,9600000,5100000,4500000,46.9,4200000,2300000,1400000,500000,300000,7000,50000,243000,0.03,150000,2600000,1400000,800000,3900000,9400000,2000000,7400000
C014,2022Q2,10700000,5600000,5100000,47.7,4500000,2500000,1500000,500000,600000,6000,60000,534000,0.07,320000,2700000,1500000,850000,4200000,9800000,1900000,7900000
C014,2022Q3,11900000,6200000,5700000,47.9,4800000,2700000,1600000,500000,900000,5000,70000,825000,0.11,480000,2800000,1600000,900000,4500000,10200000,1800000,8400000
C014,2022Q4,13300000,6850000,6450000,48.5,5100000,2900000,1700000,500000,1350000,4000,80000,1266000,0.17,650000,2900000,1700000,950000,4800000,10600000,1700000,8900000
C014,2023Q1,12800000,6500000,6300000,49.2,5500000,3200000,1800000,500000,800000,3000,90000,707000,0.09,350000,2850000,1800000,1000000,5100000,11000000,1750000,9250000
C014,2023Q2,14000000,7100000,6900000,49.3,5800000,3400000,1900000,500000,1100000,2000,100000,998000,0.13,480000,3000000,1900000,1050000,5400000,11400000,1800000,9600000
C014,2023Q3,15400000,7750000,7650000,49.7,6100000,3600000,2000000,500000,1550000,1800,110000,1438200,0.19,650000,3200000,2000000,1100000,5700000,11800000,1850000,9950000
C014,2023Q4,16900000,8450000,8450000,50.0,6400000,3800000,2100000,500000,2050000,1600,120000,1928400,0.25,850000,3400000,2100000,1150000,6000000,12200000,1900000,10300000
C014,2024Q1,15600000,7800000,7800000,50.0,6800000,4100000,2200000,500000,1000000,1400,130000,868600,0.11,400000,3300000,2200000,1200000,6300000,12600000,2000000,10600000
C014,2024Q2,16800000,8350000,8450000,50.3,7100000,4300000,2300000,500000,1350000,1200,140000,1208800,0.16,550000,3500000,2300000,1250000,6600000,13000000,2100000,10900000
C014,2024Q3,18300000,9050000,9250000,50.5,7400000,4500000,2400000,500000,1850000,1000,150000,1699000,0.22,750000,3700000,2400000,1300000,6900000,13400000,2200000,11200000
C014,2024Q4,20100000,9900000,10200000,50.7,7700000,4700000,2500000,500000,2500000,800,160000,2339200,0.30,950000,3900000,2500000,1350000,7200000,13800000,2300000,11500000
C014,2025Q1,18700000,9200000,9500000,50.8,8100000,5000000,2600000,500000,1400000,600,170000,1229400,0.16,550000,4000000,2600000,1400000,7500000,14200000,2400000,11800000
C014,2025Q2,20200000,9900000,10300000,51.0,8400000,5200000,2700000,500000,1900000,500,180000,1719500,0.22,750000,4200000,2700000,1450000,7800000,14600000,2500000,12100000
