company_id,period,revenue_usd,cogs_usd,gross_profit_usd,gross_margin_pct,opex_usd,rd_expense_usd,selling_expense_usd,admin_expense_usd,operating_income_usd,interest_expense_usd,tax_expense_usd,net_income_usd,eps_basic,free_cash_flow_usd,cash_and_equivalents_usd,accounts_receivable_usd,inventory_usd,property_plant_equipment_usd,total_assets_usd,total_liabilities_usd,shareholders_equity_usd
C006,2020Q1,8200000,3600000,4600000,56.1,5300000,2300000,1800000,1200000,-700000,50000,0,-750000,-0.09,-400000,4100000,2500000,5200000,6800000,19200000,8000000,11200000
C006,2020Q2,7800000,3400000,4400000,56.4,5100000,2250000,1700000,1150000,-700000,48000,0,-748000,-0.09,-350000,4200000,2400000,5400000,6900000,19500000,8100000,11400000
C006,2020Q3,8600000,3700000,4900000,57.0,5200000,2300000,1750000,1150000,-300000,47000,0,-347000,-0.04,-200000,4400000,2600000,5600000,7000000,19800000,8200000,11600000
C006,2020Q4,9200000,3950000,5250000,57.1,5300000,2350000,1800000,1150000,-50000,46000,0,-96000,-0.01,-50000,4600000,2700000,5800000,7100000,20200000,8300000,11900000
C006,2021Q1,10300000,4300000,6000000,58.3,5600000,2500000,1950000,1150000,400000,45000,20000,335000,0.04,120000,4800000,2900000,6000000,7300000,20600000,8400000,12200000
C006,2021Q2,11400000,4700000,6700000,58.8,5900000,2650000,2050000,1200000,800000,44000,60000,696000,0.08,300000,5000000,3100000,6100000,7500000,21200000,8600000,12600000
C006,2021Q3,12500000,5100000,7400000,59.2,6200000,2800000,2150000,1250000,1200000,43000,80000,1070000,0.12,520000,5400000,3400000,6200000,7700000,21900000,8800000,13100000
C006,2021Q4,13900000,5600000,8300000,59.7,6500000,2950000,2300000,1250000,1800000,42000,100000,1650000,0.18,700000,5900000,3600000,6300000,7900000,22600000,9000000,13600000
C006,2022Q1,15400000,6100000,9300000,60.4,6800000,3200000,2400000,1200000,2500000,40000,120000,2340000,0.25,960000,6200000,3900000,6400000,8200000,23500000,9300000,14200000
C006,2022Q2,17100000,6650000,10450000,61.1,7200000,3400000,2550000,1250000,3250000,38000,140000,3070000,0.33,1200000,6500000,4100000,6500000,8500000,24500000,9600000,14900000
C006,2022Q3,18900000,7200000,11700000,61.9,7800000,3600000,2750000,1450000,3900000,36000,160000,3700000,0.39,1400000,6900000,4300000,6600000,8800000,25600000,9900000,15700000
C006,2022Q4,20800000,7800000,13000000,62.5,8200000,3800000,2900000,1500000,4800000,34000,180000,4590000,0.48,1600000,7400000,4600000,6800000,9100000,26800000,10200000,16600000
C006,2023Q1,19500000,7350000,12150000,62.3,9800000,4100000,3200000,2500000,2350000,32000,250000,2060000,0.21,700000,7200000,4900000,6900000,9400000,27900000,11100000,16800000
C006,2023Q2,21400000,8000000,13400000,62.6,10300000,4300000,3400000,2600000,3100000,30000,200000,2870000,0.29,900000,7500000,5200000,7000000,9700000,29000000,11400000,17600000
C006,2023Q3,23600000,8700000,14900000,63.1,10800000,4500000,3600000,2700000,4100000,28000,150000,3920000,0.40,1150000,7900000,5400000,7100000,10000000,30300000,11700000,18600000
C006,2023Q4,26100000,9450000,16650000,63.8,11300000,4700000,3800000,2800000,5350000,26000,100000,5220000,0.53,1400000,8400000,5700000,7200000,10300000,31700000,12000000,19700000
C006,2024Q1,23200000,8400000,14800000,63.8,12100000,5000000,4100000,3000000,2700000,24000,700000,1980000,0.20,400000,8200000,6000000,7400000,10600000,32900000,13000000,19900000
C006,2024Q2,24800000,8900000,15900000,64.1,12600000,5200000,4300000,3100000,3300000,22000,600000,2680000,0.27,600000,8500000,6300000,7500000,10900000,34100000,13300000,20800000
C006,2024Q3,26700000,9500000,17200000,64.4,13100000,5400000,4500000,3200000,4100000,20000,500000,3580000,0.36,850000,8900000,6600000,7600000,11200000,35400000,13600000,21800000
C006,2024Q4,28900000,10100000,18800000,65.1,13700000,5600000,4700000,3400000,5100000,18000,400000,4660000,0.47,1100000,9400000,6900000,7800000,11500000,36800000,13900000,22900000
C006,2025Q1,26300000,9200000,17100000,65.0,13900000,5900000,4800000,3200000,3200000,16000,300000,2870000,0.29,700000,9800000,7200000,7900000,11800000,38200000,14300000,23900000
C006,2025Q2,28100000,9800000,18300000,65.1,14300000,6100000,5000000,3200000,4000000,14000,200000,3850000,0.38,900000,10200000,7600000,8000000,12100000,39600000,14600000,25000000
