company_id,period,revenue_usd,cogs_usd,gross_profit_usd,gross_margin_pct,opex_usd,rd_expense_usd,selling_expense_usd,admin_expense_usd,operating_income_usd,interest_expense_usd,tax_expense_usd,net_income_usd,eps_basic,free_cash_flow_usd,cash_and_equivalents_usd,accounts_receivable_usd,inventory_usd,property_plant_equipment_usd,total_assets_usd,total_liabilities_usd,shareholders_equity_usd
C019,2020Q1,15000000,9500000,5500000,36.6,7200000,3000000,2400000,1800000,-1700000,75000,0,-1775000,-0.20,-1100000,4800000,2500000,1600000,7400000,18600000,7200000,11400000
C019,2020Q2,15900000,9900000,6000000,37.7,7400000,3100000,2500000,1800000,-1400000,72000,0,-1472000,-0.17,-950000,4900000,2600000,1700000,7600000,19000000,7100000,11900000
C019,2020Q3,17200000,10500000,6700000,38.9,7600000,3200000,2600000,1800000,-900000,70000,0,-970000,-0.11,-650000,5000000,2700000,1800000,7800000,19400000,7000000,12400000
C019,2020Q4,18800000,11300000,7500000,39.9,7800000,3300000,2700000,1800000,-300000,68000,5000,-71500,-0.01,-350000,5100000,2800000,1900000,8000000,19800000,6900000,12900000
C019,2021Q1,20200000,12000000,8200000,40.6,8200000,3500000,2800000,1900000,0,65000,60000,-125000,-0.01,200000,5200000,2900000,2000000,8500000,20600000,6800000,13800000
C019,2021Q2,21700000,12800000,8900000,41.0,8500000,3600000,3000000,1900000,400000,60000,80000,260000,0.02,450000,5400000,3000000,2100000,8800000,21400000,6700000,14700000
C019,2021Q3,23400000,13600000,9800000,41.9,8800000,3800000,3100000,1900000,1000000,55000,90000,855000,0.09,650000,5600000,3100000,2200000,9100000,22200000,6600000,15600000
C019,2021Q4,25200000,14500000,10700000,42.5,9100000,3900000,3200000,2000000,1600000,50000,110000,1440000,0.14,800000,5800000,3200000,2300000,9400000,23000000,6500000,16500000
C019,2022Q4,40000000,22000000,18000000,45.0,12500000,5000000,5000000,2500000,5500000,48000,230000,5220000,0.40,1850000,6000000,3700000,2600000,9900000,28000000,6800000,21200000
C019,2023Q4,52000000,28000000,24000000,46.1,14000000,5500000,6000000,2500000,10000000,45000,300000,9655000,0.60,2300000,6200000,3900000,2800000,10300000,29800000,6900000,22900000
C019,2024Q4,69000000,37000000,32000000,46.4,15500000,6000000,7000000,2500000,16500000,42000,400000,14680000,0.85,2800000,6400000,4200000,3000000,10700000,31600000,7200000,24400000
C019,2025Q2,41000000,21500000,19500000,47.6,11800000,5800000,4000000,2000000,7700000,35000,250000,7415000,0.53,1900000,7000000,4400000,3100000,11000000,32400000,7300000,25100000
