company_id,period,revenue_usd,cogs_usd,gross_profit_usd,gross_margin_pct,opex_usd,rd_expense_usd,selling_expense_usd,admin_expense_usd,operating_income_usd,interest_expense_usd,tax_expense_usd,net_income_usd,eps_basic,free_cash_flow_usd,cash_and_equivalents_usd,accounts_receivable_usd,inventory_usd,property_plant_equipment_usd,total_assets_usd,total_liabilities_usd,shareholders_equity_usd
C007,2020Q1,16800000,8200000,8600000,51.2,9400000,4200000,3000000,2200000,-800000,120000,0,-920000,-0.09,-450000,4800000,3200000,2100000,6400000,22500000,8900000,13600000
C007,2020Q2,17200000,8400000,8800000,51.2,9600000,4300000,3100000,2200000,-800000,115000,0,-915000,-0.09,-420000,4900000,3300000,2200000,6500000,23000000,9000000,14000000
C007,2020Q3,18500000,8950000,9550000,51.6,9800000,4400000,3200000,2200000,-250000,110000,0,-360000,-0.03,-180000,5100000,3500000,2300000,6600000,23500000,9100000,14400000
C007,2020Q4,19800000,9400000,10400000,52.5,10000000,4500000,3300000,2200000,400000,105000,30000,265000,0.02,150000,5300000,3700000,2400000,6700000,24000000,9200000,14800000
C007,2021Q1,21200000,9900000,11300000,53.3,10400000,4700000,3500000,2200000,900000,100000,50000,750000,0.07,400000,5600000,3900000,2500000,6900000,24800000,9400000,15400000
C007,2021Q2,22800000,10600000,12200000,53.5,10800000,4900000,3700000,2200000,1400000,95000,80000,1225000,0.11,650000,6000000,4100000,2600000,7100000,25600000,9600000,16000000
C007,2021Q3,24500000,11300000,13200000,53.9,11200000,5100000,3800000,2300000,2000000,90000,120000,1790000,0.16,890000,6400000,4300000,2700000,7300000,26400000,9800000,16600000
C007,2021Q4,26400000,12100000,14300000,54.2,11600000,5300000,4000000,2300000,2700000,85000,160000,2455000,0.22,1200000,6800000,4500000,2800000,7500000,27200000,10000000,17200000
C007,2022Q1,28300000,12800000,15500000,54.8,12200000,5600000,4200000,2400000,3300000,80000,200000,3020000,0.27,1400000,7200000,4700000,2900000,7800000,28000000,10200000,17800000
C007,2022Q2,30100000,13600000,16500000,54.8,12800000,5800000,4400000,2600000,3700000,75000,240000,3385000,0.30,1600000,7600000,4900000,3000000,8100000,28800000,10400000,18400000
C007,2022Q3,32200000,14500000,17700000,55.0,13400000,6000000,4600000,2800000,4300000,70000,280000,3950000,0.35,1900000,8000000,5100000,3100000,8400000,29600000,10600000,19000000
C007,2022Q4,34600000,15500000,19100000,55.2,14000000,6200000,4800000,3000000,5100000,65000,320000,4715000,0.42,2200000,8400000,5300000,3200000,8700000,30400000,10800000,19600000
C007,2023Q1,32800000,14700000,18100000,55.2,14800000,6500000,5000000,3300000,3300000,60000,350000,2890000,0.25,1300000,8200000,5600000,3400000,9000000,31200000,11200000,20000000
C007,2023Q2,34200000,15300000,18900000,55.3,15200000,6700000,5200000,3300000,3700000,55000,380000,3265000,0.29,1500000,8600000,5800000,3500000,9300000,32000000,11400000,20600000
C007,2023Q3,36800000,16400000,20400000,55.4,15800000,6900000,5400000,3500000,4600000,50000,420000,4130000,0.36,1800000,9000000,6000000,3600000,9600000,32800000,11600000,21200000
C007,2023Q4,39600000,17600000,22000000,55.6,16400000,7100000,5600000,3700000,5600000,45000,480000,5075000,0.45,2100000,9400000,6200000,3700000,9900000,33600000,11800000,21800000
C007,2024Q1,36400000,16200000,20200000,55.5,17200000,7400000,5800000,4000000,3000000,40000,520000,2440000,0.21,1000000,9200000,6500000,3900000,10200000,34400000,12200000,22200000
C007,2024Q2,37900000,16800000,21100000,55.7,17800000,7600000,6000000,4200000,3300000,38000,550000,2712000,0.24,1200000,9600000,6700000,4000000,10500000,35200000,12400000,22800000
C007,2024Q3,40500000,17900000,22600000,55.8,18400000,7800000,6200000,4400000,4200000,35000,600000,3565000,0.31,1600000,10000000,6900000,4100000,10800000,36000000,12600000,23400000
C007,2024Q4,43800000,19300000,24500000,55.9,19200000,8000000,6400000,4800000,5300000,32000,680000,4588000,0.40,2000000,10400000,7100000,4200000,11100000,36800000,12800000,24000000
C007,2025Q1,40200000,17700000,22500000,56.0,19800000,8300000,6600000,4900000,2700000,30000,700000,1970000,0.17,800000,10600000,7400000,4400000,11400000,37600000,13200000,24400000
C007,2025Q2,41800000,18400000,23400000,56.0,20200000,8500000,6800000,4900000,3200000,28000,750000,2422000,0.21,1000000,10800000,7600000,4500000,11700000,38400000,13400000,25000000
