company_id,period,revenue_usd,cogs_usd,gross_profit_usd,gross_margin_pct,opex_usd,rd_expense_usd,selling_expense_usd,admin_expense_usd,operating_income_usd,interest_expense_usd,tax_expense_usd,net_income_usd,eps_basic,free_cash_flow_usd,cash_and_equivalents_usd,accounts_receivable_usd,inventory_usd,property_plant_equipment_usd,total_assets_usd,total_liabilities_usd,shareholders_equity_usd
C017,2020Q1,7200000,3500000,3700000,51.4,4200000,2100000,1200000,900000,-500000,30000,0,-530000,-0.10,-250000,2600000,1500000,0,3500000,13500000,5000000,8500000
C017,2020Q2,7600000,3650000,3950000,52.0,4300000,2150000,1250000,900000,-350000,29000,0,-379000,-0.07,-180000,2700000,1550000,0,3600000,13700000,4900000,8800000
C017,2020Q3,8100000,3850000,4250000,52.5,4400000,2200000,1300000,900000,-150000,28000,0,-178000,-0.03,-90000,2800000,1600000,0,3700000,13900000,4800000,9100000
C017,2020Q4,8700000,4100000,4600000,52.9,4500000,2250000,1350000,900000,100000,27000,10000,63000,0.01,80000,2900000,1650000,0,3800000,14100000,4700000,9400000
C017,2021Q1,9400000,4400000,5000000,53.2,4700000,2400000,1400000,900000,300000,26000,20000,254000,0.05,150000,3000000,1700000,0,4000000,14400000,4600000,9800000
C017,2021Q2,10200000,4750000,5450000,53.4,4900000,2550000,1450000,900000,550000,25000,30000,495000,0.09,280000,3100000,1750000,0,4200000,14700000,4500000,10200000
C017,2021Q3,11100000,5150000,5950000,53.6,5100000,2700000,1500000,900000,850000,24000,40000,786000,0.14,420000,3200000,1800000,0,4400000,15000000,4400000,10600000
C017,2021Q4,12200000,5600000,6600000,54.1,5300000,2850000,1550000,900000,1300000,23000,60000,1217000,0.22,600000,3300000,1850000,0,4600000,15300000,4300000,11000000
C017,2022Q1,13400000,6100000,7300000,54.5,5600000,3050000,1650000,900000,1700000,22000,80000,1598000,0.28,750000,3400000,1900000,0,4900000,15700000,4200000,11500000
C017,2022Q2,14800000,6700000,8100000,54.7,5900000,3250000,1750000,900000,2200000,21000,100000,2079000,0.36,950000,3500000,1950000,0,5200000,16100000,4100000,12000000
C017,2022Q3,16400000,7350000,9050000,55.2,6200000,3450000,1850000,900000,2850000,20000,120000,2710000,0.47,1200000,3600000,2000000,0,5500000,16500000,4000000,12500000
C017,2022Q4,18200000,8100000,10100000,55.5,6500000,3650000,1950000,900000,3600000,19000,150000,3431000,0.59,1500000,3700000,2050000,0,5800000,16900000,3900000,13000000
C017,2023Q1,17100000,7600000,9500000,55.6,6900000,3900000,2100000,900000,2600000,18000,160000,2422000,0.41,1000000,3650000,2100000,0,6100000,17300000,4000000,13300000
C017,2023Q2,18500000,8200000,10300000,55.7,7200000,4100000,2200000,900000,3100000,17000,170000,2913000,0.49,1250000,3800000,2150000,0,6400000,17700000,4100000,13600000
C017,2023Q3,20200000,8900000,11300000,55.9,7500000,4300000,2300000,900000,3800000,16000,180000,3604000,0.61,1500000,3950000,2200000,0,6700000,18100000,4200000,13900000
C017,2023Q4,22300000,9800000,12500000,56.1,7800000,4500000,2400000,900000,4700000,15000,200000,4485000,0.75,1800000,4100000,2250000,0,7000000,18500000,4300000,14200000
C017,2024Q1,20600000,9000000,11600000,56.3,8200000,4750000,2550000,900000,3400000,14000,220000,3166000,0.53,1300000,4000000,2300000,0,7300000,18900000,4400000,14500000
C017,2024Q2,22400000,9750000,12650000,56.5,8500000,4950000,2650000,900000,4150000,13000,240000,3897000,0.65,1500000,4200000,2350000,0,7600000,19300000,4500000,14800000
C017,2024Q3,24600000,10650000,13950000,56.7,8800000,5150000,2750000,900000,5150000,12000,260000,4878000,0.81,1850000,4400000,2400000,0,7900000,19700000,4600000,15100000
C017,2024Q4,27200000,11700000,15500000,57.0,9100000,5350000,2850000,900000,6400000,11000,300000,6089000,1.01,2300000,4600000,2450000,0,8200000,20100000,4700000,15400000
C017,2025Q1,25100000,10750000,14350000,57.2,9500000,5600000,3000000,900000,4850000,10000,320000,4520000,0.75,1800000,4700000,2500000,0,8500000,20500000,4800000,15700000
C017,2025Q2,27300000,11650000,15650000,57.3,9800000,5800000,3100000,900000,5850000,9000,350000,5491000,0.91,2100000,4900000,2550000,0,8800000,20900000,4900000,16000000
